-2.13191 4.58801
-2.11093 4.50024
-2.09062 4.41621
-2.06838 4.32531
-2.04831 4.24397
-2.02559 4.1531
-2.00262 4.06174
-1.97948 3.97141
-1.95565 3.87917
-1.93018 3.78207
-1.90683 3.69449
-1.88215 3.60263
-1.85608 3.50702
-1.82941 3.41065
-1.80287 3.31667
-1.7762 3.22295
-1.7456 3.11793
-1.71846 3.02581
-1.68774 2.92384
-1.65728 2.82488
-1.62522 2.72289
-1.59574 2.62947
-1.56382 2.53054
-1.53089 2.43084
-1.49442 2.32274
-1.46297 2.23116
-1.42839 2.13174
-1.39524 2.03872
-1.36094 1.94469
-1.32829 1.85621
-1.29729 1.77389
-1.25971 1.67652
-1.23272 1.60713
-1.20276 1.53183
-1.17364 1.45958
-1.14612 1.3934
-1.11953 1.32978
-1.09653 1.27606
-1.07211 1.22022
-1.04855 1.16625
-1.02874 1.12219
-1.00681 1.07398
-0.989381 1.03654
-0.971121 0.997568
-0.954688 0.963356
-0.938986 0.931015
