0.814829 0.666124
0.809137 0.657008
0.803557 0.648154
0.797788 0.63904
0.791532 0.629276
0.785346 0.619679
0.778932 0.609835
0.772124 0.59951
0.765344 0.589294
0.758546 0.579147
0.750957 0.567944
0.742917 0.556258
0.734693 0.544522
0.726439 0.532745
0.717175 0.519895
0.708064 0.507506
0.699437 0.495658
0.687732 0.480398
0.677588 0.467247
0.665706 0.452184
0.654214 0.438044
0.639934 0.420997
0.627099 0.405968
0.611873 0.388699
0.594979 0.370443
0.57642 0.35088
0.561927 0.33566
0.543162 0.31703
0.524389 0.299006
0.504437 0.280318
0.484994 0.262635
0.463268 0.24364
0.44311 0.226415
0.422242 0.209122
0.402432 0.193257
0.384227 0.179145
0.36655 0.165519
0.34787 0.151899
0.334145 0.141982
0.317551 0.130268
0.300948 0.119007
0.288801 0.111164
0.27618 0.102692
0.263445 0.0949726
0.253306 0.0887003
0.244323 0.0831245
