 2212.73 2143.18 2074.55 2006.82 1940 1874.09 1809.09 1745 1681.82 1619.55 1558.18 1497.73 1438.18 1379.55 1321.82 1265 1209.09 1154.09 1100 1046.82 994.55 943.187 892.733 843.188 794.552 746.825 700.007 654.098 609.098 565.007 521.826 479.553 438.189 397.735
 2215.91 2146.36 2077.73 2010 1943.18 1877.27 1812.27 1748.18 1685 1622.73 1561.36 1500.91 1441.37 1382.73 1325 1268.18 1212.28 1157.28 1103.19 1050 997.732 946.369 895.915 846.37 797.733 750.006 703.189 657.28 612.28 568.189 525.007 482.735 441.371 400.917
 2218.18 2148.64 2080 2012.27 1945.45 1879.55 1814.55 1750.45 1687.27 1625 1563.64 1503.18 1443.64 1385 1327.28 1270.46 1214.55 1159.55 1105.46 1052.28 1000 948.642 898.187 848.642 800.006 752.279 705.461 659.552 614.553 570.462 527.28 485.008 443.644 403.189
 2219.54 2150 2081.36 2013.64 1946.82 1880.91 1815.91 1751.82 1688.64 1626.36 1565 1504.55 1445 1386.37 1328.64 1271.82 1215.91 1160.91 1106.82 1053.64 1001.37 950.005 899.551 850.006 801.37 753.643 706.825 660.916 615.916 571.825 528.644 486.371 445.008 404.553
 2220 2150.45 2081.82 2014.09 1947.27 1881.36 1816.36 1752.27 1689.09 1626.82 1565.46 1505 1445.46 1386.82 1329.09 1272.28 1216.37 1161.37 1107.28 1054.1 1001.82 950.46 900.005 850.46 801.824 754.097 707.279 661.371 616.371 572.28 529.098 486.826 445.462 405.008
 2219.54 2150 2081.36 2013.64 1946.82 1880.91 1815.91 1751.82 1688.64 1626.36 1565 1504.55 1445 1386.37 1328.64 1271.82 1215.91 1160.91 1106.82 1053.64 1001.37 950.005 899.551 850.006 801.37 753.643 706.825 660.916 615.916 571.825 528.644 486.371 445.007 404.553
 2218.18 2148.64 2080 2012.27 1945.45 1879.55 1814.55 1750.45 1687.27 1625 1563.64 1503.18 1443.64 1385 1327.28 1270.46 1214.55 1159.55 1105.46 1052.28 1000 948.641 898.187 848.642 800.006 752.279 705.461 659.552 614.552 570.462 527.28 485.007 443.644 403.189
 2215.91 2146.36 2077.73 2010 1943.18 1877.27 1812.27 1748.18 1685 1622.73 1561.36 1500.91 1441.37 1382.73 1325 1268.18 1212.28 1157.28 1103.19 1050 997.732 946.369 895.915 846.369 797.733 750.006 703.188 657.28 612.28 568.189 525.007 482.735 441.371 400.917
 2212.73 2143.18 2074.54 2006.82 1940 1874.09 1809.09 1745 1681.82 1619.55 1558.18 1497.73 1438.18 1379.55 1321.82 1265 1209.09 1154.09 1100 1046.82 994.55 943.187 892.733 843.188 794.551 746.824 700.007 654.098 609.098 565.007 521.825 479.553 438.189 397.735
 2208.64 2139.09 2070.45 2002.73 1935.91 1870 1805 1740.91 1677.73 1615.46 1554.09 1493.64 1434.09 1375.46 1317.73 1260.91 1205 1150 1095.91 1042.73 990.459 939.096 888.642 839.097 790.461 742.734 695.916 650.007 605.007 560.916 517.734 475.462 434.098 393.644
 2203.64 2134.09 2065.45 1997.73 1930.91 1865 1800 1735.91 1672.73 1610.46 1549.09 1488.64 1429.09 1370.46 1312.73 1255.91 1200 1145 1090.91 1037.73 985.459 934.096 883.642 834.097 785.461 737.734 690.916 645.007 600.007 555.916 512.734 470.462 429.098 388.644
 2197.73 2128.18 2059.54 1991.82 1925 1859.09 1794.09 1730 1666.82 1604.55 1543.18 1482.73 1423.18 1364.55 1306.82 1250 1194.09 1139.09 1085 1031.82 979.55 928.187 877.733 828.187 779.551 731.824 685.006 639.098 594.098 550.007 506.825 464.553 423.189 382.735
 2190.91 2121.36 2052.73 1985 1918.18 1852.27 1787.27 1723.18 1660 1597.73 1536.36 1475.91 1416.37 1357.73 1300 1243.18 1187.28 1132.28 1078.19 1025 972.732 921.369 870.914 821.369 772.733 725.006 678.188 632.279 587.28 543.189 500.007 457.735 416.371 375.916
 2183.18 2113.64 2045 1977.27 1910.45 1844.55 1779.55 1715.45 1652.27 1590 1528.64 1468.18 1408.64 1350 1292.28 1235.46 1179.55 1124.55 1070.46 1017.28 965.005 913.641 863.187 813.642 765.006 717.279 670.461 624.552 579.552 535.462 492.28 450.007 408.644 368.189
 2174.54 2105 2036.36 1968.64 1901.82 1835.91 1770.91 1706.82 1643.64 1581.36 1520 1459.55 1400 1341.37 1283.64 1226.82 1170.91 1115.91 1061.82 1008.64 956.368 905.005 854.551 805.006 756.37 708.643 661.825 615.916 570.916 526.825 483.644 441.371 400.007 359.553
 2165 2095.45 2026.82 1959.09 1892.27 1826.36 1761.36 1697.27 1634.09 1571.82 1510.46 1450 1390.46 1331.82 1274.09 1217.28 1161.37 1106.37 1052.28 999.095 946.823 895.46 845.005 795.46 746.824 699.097 652.279 606.37 561.371 517.28 474.098 431.825 390.462 350.007
